ID,name,state
C0E63D90-4BD6-42FC-85E7-56E40D27F9D5,TACT Zeus Contributors,ACTIVE
D627763B-21CE-42A0-8ED3-4E0C99B176B2,TACT Destiny Contributors,ACTIVE
4952EABC-6DA1-4F85-9F91-20EC31675E7F,TACT Heroes Contributors,ACTIVE
3943922B-5CB6-4DC1-8590-D3F745932944,TACT Fenris Admins,ACTIVE
0AD88975-56A2-4E5A-8ED1-39DF45AB0A42,TACT Admins,ACTIVE
4FE41A75-4992-4923-A8D4-45FB022C6191,TACT WoW Live Operators,ACTIVE
0836997C-2A28-4587-9A3E-20AC85419D82,TACT Viper Contributors,ACTIVE
7F0F5420-54D7-4940-AE50-FA4CC7EDF3FD,TACT WarCraft3 Contributors,ACTIVE
2B6E6A5A-1499-4706-A27B-47744C3AF629,TACT Orbis Contributors,ACTIVE
C0CD8890-2614-406E-83A7-79E98AC06010,TACT Anubis Admins,ACTIVE
59099F0F-5506-416D-AF8B-A8FBF339D89F,Wallaby Live Operators,ACTIVE
8EA3EDB8-4782-47AD-9D25-2D2632CE4F45,TACT StarCraft1 Users,ACTIVE
2F81B19A-0927-49F4-87D4-668EEC231471,TACT Agent Live Operators,ACTIVE
1AE303BA-93D9-4132-9DA5-3F1F4C9A5B52,TACT Hearthstone Live Operators,ACTIVE
6E7C253C-D6B1-4566-B347-C03A14FA7CD3,TACT Odyssey Users,ACTIVE
B28B6446-4A9F-465E-A9AD-FD65CA563755,TACT Agent Admins,ACTIVE
0F8DA1FD-515B-444C-8662-ADA5590BB16C,TACT StarCraft2 Admins,ACTIVE
B4D95817-0E88-4C38-91FF-1B0CAE462100,TACT StarCraft1 Live Operators,ACTIVE
4FEC6A61-229D-4FCE-8016-0F6A4E40272E,TACT Overwatch Contributors,ACTIVE
5CBE20C6-1885-472C-8B10-E204DA589251,Fenway Admins,ACTIVE
84562671-DD04-4222-92F4-1796F362B1CE,Overwatch Live Operator,INACTIVE
682A8ACD-F155-4D69-A22D-894B62B2FFDE,Wallaby Admins,ACTIVE
7969431A-60BD-481D-94D8-C7F75EDEF0F4,TACT Phoenix Admins,ACTIVE
A992D37F-8529-45C5-902A-7EB244D3DB9D,Overwatch Contributor,INACTIVE
CF657EB6-0C73-4C81-9908-20AC960A8057,TACT Ares Users,INACTIVE
53073D8D-6165-44A8-985A-F64F56A5E72C,TACT WarCraft2 Live Operators,ACTIVE
E55BACAE-C805-42D9-AD05-6A47EF6F74D8,TACT DMTest Group,INACTIVE
2EC57AD3-6DEF-4806-AD81-011D8D8B6B08,TACT WarCraft2 Contributors,ACTIVE
38CA985C-9B18-4F1A-A65B-334BD4820CE4,TACT Gryphon Admins,ACTIVE
CE8522A0-2A6F-4825-8E57-6FBC691ACE7D,TACT StarCraft2 Users,ACTIVE
757EAFF0-17D0-4037-8CA1-A5E53FC88601,Cortez Live Oeprators,ACTIVE
415C3962-5285-465D-9FC1-85CF78FA68F4,TACT Catalogs Contributors,ACTIVE
0E9B0989-54D4-44DC-9C27-CFE0D005DE30,TACT Phoenix Live Operators,ACTIVE
47E1D830-DD16-4D73-98CC-91108C009683,TACT B.net QA Users,ACTIVE
EB55A7EE-0B89-429F-985B-D6DA5B6DB4B1,TACT Catalogs Live Operators,ACTIVE
EFFF699A-5EA3-4B12-AAD5-6A11D9815761,Lazarus Operators,ACTIVE
0A433D22-2FD5-4B43-A28C-5B2EE65F84FB,TACT Odin Users,ACTIVE
103699A4-9954-4D71-9B1C-195C0D02F307,TACT USERS,ACTIVE
1A055B4C-1EAA-4BA4-B3A4-BAB06E5694F0,Fenway Live Operators,ACTIVE
96042489-43A4-4062-8C74-6AC762E0A8ED,Vanguard Contributors,ACTIVE
ECC1650F-4C1F-47A8-99B5-B02B55EE98FC,TACT Fenris Contributors,ACTIVE
7640DE19-F20C-4C12-BE06-259A3C45296B,TACT Odin Contributors,ACTIVE
C39EFFE3-0673-459E-9A7A-EC83547B9AEB,TACT Zeus Live Operators,ACTIVE
5A598963-F9D8-4BF8-AEC1-ADB440B15E23,TACT Diablo3 Contributors,ACTIVE
